portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Nasceu para nós hoje,  O'a îandébo kori,O'a îandébo kori,O'a îandébo kori
E a aproximação do parto de uma grávida não é também motivo de se ter medo?, A'epe muru'apora membyrasy kakara na nheangûaba bé ruã?,A'epe ta'yraburusu reroîebyîebysabamo n'asé sykyîeby bé ruã?,A'epe muru'apora membyrasy kakara na nheangûaba bé ruã?
A gente vê aquela coisa branca e sua redondeza também," Akó morotinga, i amandaba bé asé osepîak","Akó morotinga, i amandaba bé asé osepîak","Akó morotinga, i amandaba bé asé osepîak"
"Ah, quem me dera comer veneno para que eu morresse disso", A'u temõ mba'eaíba mã a'emo nhẽ xe re'õû ãûa suí,A'u temõ mba'eposakara suí omanõmo mã!,A'u temõ mba'eaíba mã a'emo nhẽ xe re'õû ãûa suí
"Mostramse a urdir mentiras, ficando a provar poções"," E'i mo'ema monhanga, mosanga ra'ãra'anga","Îandé mo'ema monhanga, oîposanong","E'i mo'ema monhanga, mosanga ra'ãra'anga"
"Tenhamos as coisas boas, apartandoas do que é torpe", Îarekó é rakó mba'ekatu i poxyba'e suí i mouruébo,Îarekó é rakó mba'ekatu i poxyba'e suí i mouruébo,Îarekó é rakó mba'ekatu i poxyba'e suí i mouruébo
acordado, iubé ,moingé,iubé 
"aquele (s, a, as)", kíiei,kíiei,kíiei
Não os temos desde nossos avós, Marãpe pe rubixabetae'ym?  Nd'oroerekóî nhẽ oré ramuîa abé  Por que vós não tendes muitos reis?,Îandé ramỹîa suí asé ogûerekó e'ymeté,Marãpe pe rubixabetae'ym? Nd'oroerekóî nhẽ oré ramuîa abé Por que vós não tendes muitos reis?
Por ser coisa que deve ser dividida, Mba'eramo i moîa'okypyra rekóreme,I nhe'engatã pupé,Mba'eramo i moîa'okypyra rekóreme
"Grita tu, lamentate!"," Nde rasẽ, eîeapirõ!","Nde rasẽ, eîeapirõ!","Nde rasẽ, eîeapirõ!"
Não brigarão?, Nd'omarãmonhangi xópene?,Nd'omarãmonhangi xópene?,Nd'omarãmonhangi xópene?
Não existem mais absolutamente suas antigas terras, N'i tybangáî setãmbûera,N'i tybangáî setãmbûera,N'i tybangáî setãmbûera
"antigamente, após a criação do mundo", raka'e 'ara nhemonhang'iré,raka'e 'ara nhemonhang'iré,raka'e 'ara nhemonhang'iré
acaso, serã,E'i nhẽpe oîkóbo,serã
Eram muitos os que estavam a castigálo?, Setápe i nupãnupãsara?,Setápe i moerapûanymbyra?,Setápe i nupãnupãsara?
Os guardadores de cabra querem visitar seu Senhor, Sygûasumé rerekoara oîosupotá o îara,Gûyrá rerekóbo o îara reká,Sygûasumé rerekoara oîosupotá o îara
Eu também sou um porco, Xe abé taîasugûaîa,Xe abé u'ipuba,Xe abé taîasugûaîa
"Meus guardiães oporseão a vós, como de costume", Xe rarõana opoapypyk îandune,Xe rarõana opoapypyk îandune,Xe rarõana opoapypyk îandune
Eu me escafedo ao ir, Xe rembyrĩ gûixóbo,Aîepubuî gûixóbo,Xe rembykãî gûixóbo
Picarmeia o marigui, Xe su'umo marigûi,Moxy aî'abo,Xe su'umo marigûi
"Eu sou o grande tamoio Aimbirê, uma sucuriju"," Xe tamuîusu Aîmbiré, sukuriîu","Xe ambyîusu Aîmbiré, sukuriîu","Xe tamuîusu Aîmbiré, sukuriîu"
Hei de irritar os malditos,"""Aîrarõpe muru ká",Angaîpaba ri xe rosangi,"""Aîrarõpe muru ká"
"Disseste ""Oxalá eu o mate"", fazendo alguém ouvir?","""Aîuká temomã"" erépe abá remiendubamo?","""Aîuká ipó"" eré tenhẽpe abá supé nde putunhẽû?","""Aîuká temomã"" erépe abá remiendubamo?"
"Disseste falsamente que ele disse isso, sendo maledicente?","""E'i kó"" eré tenhẽpe nde îuruaíbamo?",Nde mba'epûerype aîpó nde moŷrõmo?,"""E'i kó"" eré tenhẽpe nde îuruaíbamo?"
"Ao dizer ""Jesus"", o maldito tem medo","""Jesu"" 'éreme, moxy sykyîéû","""Jesu"" 'éreme, kó muru ryryî okûapa","""Jesu"" 'éreme, moxy sykyîéû"
Presumo que ele deve ter ido,"""Osó ipó re'a"" a'é","""Osó ipó re'a"" a'é","""Osó ipó re'a"" a'é"
"""Ele deve ter ido"", disse eu em suposição","""Osó ipó re'a"" a'é angá","""Osó ipó re'a"" a'é angá","""Osó ipó re'a"" a'é angá"
"Suponho eu que ele tenha ido, de fato","""Osó ipó"" a'ea'ub niã ixé","""Osó ipó"" a'ea'ub niã ixé","""Osó ipó"" a'ea'ub niã ixé"
"""Entrai na igreja"" disse ele de modo louvável","""Peîké Tupãokype"" e'i muruangaba","""Peîké Tupãokype"" e'i muru","""Peîké Tupãokype"" e'i muruangaba"
"""Lembraivos da morte"", deverão dizer suas palavras","""Penhemoma'enduá te'õ resé"", e'i temone i nhe'enga","""Penhemoma'enduá te'õ resé"", e'i temone","""Penhemoma'enduá te'õ resé"", e'i temone i nhe'enga"
"Por quê vocês, maíras e perós, quer dizer, franceses e portugueses, vêm de tão longe procurar madeira para se aquecerem?","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?""","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?""","""Que veut dire que vous autres Mairs et Peros, c'est à dire François et Portugais, veniez de si loin querir du bois pour vous chauffer?"""
